file_path,label,model,media_type
images/Kaiber/Kaiber_0.png,1,Kaiber,image
images/Kaiber/Kaiber_1.png,1,Kaiber,image
images/Kaiber/Kaiber_2.png,1,Kaiber,image
images/Kaiber/Kaiber_3.png,1,Kaiber,image
videos/Kaiber/Kaiber_4.mp4,1,Kaiber,video
images/Kaiber/Kaiber_5.png,1,Kaiber,image
videos/Kaiber/Kaiber_6.mp4,0,Kaiber,video
videos/Kaiber/Kaiber_7.mp4,0,Kaiber,video
images/Kaiber/Kaiber_8.png,1,Kaiber,image
images/Kaiber/Kaiber_9.png,1,Kaiber,image
images/Kaiber/Kaiber_10.png,1,Kaiber,image
images/Kaiber/Kaiber_11.png,1,Kaiber,image
videos/Kaiber/Kaiber_12.mp4,1,Kaiber,video
images/StableDiffusion_Medium/StableDiffusion_Medium_0.png,0,StableDiffusion_Medium,image
images/StableDiffusion_Medium/StableDiffusion_Medium_1.png,1,StableDiffusion_Medium,image
images/StableDiffusion_Medium/StableDiffusion_Medium_10.png,0,StableDiffusion_Medium,image
images/StableDiffusion_Medium/StableDiffusion_Medium_100.png,0,StableDiffusion_Medium,image
images/StableDiffusion_Medium/StableDiffusion_Medium_101.png,0,StableDiffusion_Medium,image
images/StableDiffusion_Medium/StableDiffusion_Medium_102.png,1,StableDiffusion_Medium,image
images/StableDiffusion_Medium/StableDiffusion_Medium_103.png,0,StableDiffusion_Medium,image
images/StableDiffusion_Medium/StableDiffusion_Medium_104.png,0,StableDiffusion_Medium,image
images/StableDiffusion_Medium/StableDiffusion_Medium_105.png,1,StableDiffusion_Medium,image
images/StableDiffusion_Medium/StableDiffusion_Medium_106.png,0,StableDiffusion_Medium,image
images/StableDiffusion_Medium/StableDiffusion_Medium_107.png,1,StableDiffusion_Medium,image
images/StableDiffusion_Medium/StableDiffusion_Medium_108.png,0,StableDiffusion_Medium,image
images/StableDiffusion_Medium/StableDiffusion_Medium_109.png,0,StableDiffusion_Medium,image
images/StableDiffusion_Medium/StableDiffusion_Medium_11.png,0,StableDiffusion_Medium,image
images/StableDiffusion_Medium/StableDiffusion_Medium_110.png,1,StableDiffusion_Medium,image
